,Comments_youtube,Comments_CaseFolding,CharEmoNum_Remove,RemoveDoubleWord,tokenizing,Comments_stopwordfix,Stemming2
39,Pertanyaannya. Kenapa mereka bisa memiliki senjati api lengkap?,pertanyaannya. kenapa mereka bisa memiliki senjati api lengkap?,pertanyaannya kenapa mereka bisa memiliki senjati api lengkap,pertanyaannya kenapa mereka bisa memiliki senjati api lengkap,"['pertanyaannya', 'kenapa', 'mereka', 'bisa', 'memiliki', 'senjati', 'api', 'lengkap']","['pertanyaannya', 'memiliki', 'senjati', 'api', 'lengkap']","['tanya', 'milik', 'senjati', 'api', 'lengkap']"
40,Habisi saja jangan menyerah. Ini demi keamanan negara smga para soldiers kita selamat sampai rumah masing2.,habisi saja jangan menyerah. ini demi keamanan negara smga para soldiers kita selamat sampai rumah masing2.,habisi saja jangan menyerah ini demi keamanan negara smga para soldiers kita selamat sampai rumah masing,habisi saja jangan menyerah ini demi keamanan negara smga para soldiers kita selamat sampai rumah masing,"['habisi', 'saja', 'jangan', 'menyerah', 'ini', 'demi', 'keamanan', 'negara', 'smga', 'para', 'soldiers', 'kita', 'selamat', 'sampai', 'rumah', 'masing']","['habisi', 'menyerah', 'keamanan', 'negara', 'smga', 'soldiers', 'selamat', 'rumah']","['habis', 'serah', 'aman', 'negara', 'smga', 'soldiers', 'selamat', 'rumah']"
41,2:38 Potret Perjuangan Indonesia di Tahun 1945 :v,2:38 potret perjuangan indonesia di tahun 1945 :v, potret perjuangan indonesia di tahun  v,potret perjuangan indonesia di tahun v,"['potret', 'perjuangan', 'indonesia', 'di', 'tahun', 'v']","['potret', 'perjuangan', 'indonesia', 'v']","['potret', 'juang', 'indonesia', 'v']"
42,Semua Rakyat Indonesia harus bersatu melawan segala bentuk kejahatan di Negara Indonesia yang kita cintai doa selalu buat TNI-POLRI,semua rakyat indonesia harus bersatu melawan segala bentuk kejahatan di negara indonesia yang kita cintai doa selalu buat tni-polri,semua rakyat indonesia harus bersatu melawan segala bentuk kejahatan di negara indonesia yang kita cintai doa selalu buat tnipolri,semua rakyat indonesia harus bersatu melawan segala bentuk kejahatan di negara yang kita cintai doa selalu buat tnipolri,"['semua', 'rakyat', 'indonesia', 'harus', 'bersatu', 'melawan', 'segala', 'bentuk', 'kejahatan', 'di', 'negara', 'yang', 'kita', 'cintai', 'doa', 'selalu', 'buat', 'tnipolri']","['rakyat', 'indonesia', 'bersatu', 'melawan', 'bentuk', 'kejahatan', 'negara', 'cintai', 'doa', 'tnipolri']","['rakyat', 'indonesia', 'satu', 'lawan', 'bentuk', 'jahat', 'negara', 'cinta', 'doa', 'tnipolri']"
43,"Bawa saja ke pengadilan internasional. Sudah banyak bukti kejahatan yang mereka lakukan, susah ladenin orang seperti mereka karena pendidikan mereka kurang makanya mereka seperti itu...","bawa saja ke pengadilan internasional. sudah banyak bukti kejahatan yang mereka lakukan, susah ladenin orang seperti mereka karena pendidikan mereka kurang makanya mereka seperti itu...",bawa saja ke pengadilan internasional sudah banyak bukti kejahatan yang mereka lakukan susah ladenin orang seperti mereka karena pendidikan mereka kurang makanya mereka seperti itu,bawa saja ke pengadilan internasional sudah banyak bukti kejahatan yang mereka lakukan susah ladenin orang seperti karena pendidikan kurang makanya itu,"['bawa', 'saja', 'ke', 'pengadilan', 'internasional', 'sudah', 'banyak', 'bukti', 'kejahatan', 'yang', 'mereka', 'lakukan', 'susah', 'ladenin', 'orang', 'seperti', 'karena', 'pendidikan', 'kurang', 'makanya', 'itu']","['bawa', 'pengadilan', 'internasional', 'bukti', 'kejahatan', 'lakukan', 'susah', 'ladenin', 'orang', 'pendidikan']","['bawa', 'adil', 'internasional', 'bukti', 'jahat', 'laku', 'susah', 'ladenin', 'orang', 'didik']"
44,"Diajak dialog makin ngelunjak, dimanjain makin ngelawan, air susu dibalas dengan air terjun ini namanya.   
Semoga ada tindakan tegas, KERAS dan terukur, bukan tindakan yg nanggung2 yg hanya menimbulkan TNI polri berguguran.","diajak dialog makin ngelunjak, dimanjain makin ngelawan, air susu dibalas dengan air terjun ini namanya.   
semoga ada tindakan tegas, keras dan terukur, bukan tindakan yg nanggung2 yg hanya menimbulkan tni polri berguguran.","diajak dialog makin ngelunjak dimanjain makin ngelawan air susu dibalas dengan air terjun ini namanya   
semoga ada tindakan tegas keras dan terukur bukan tindakan yg nanggung yg hanya menimbulkan tni polri berguguran",diajak dialog makin ngelunjak dimanjain ngelawan air susu dibalas dengan terjun ini namanya semoga ada tindakan tegas keras dan terukur bukan yg nanggung hanya menimbulkan tni polri berguguran,"['diajak', 'dialog', 'makin', 'ngelunjak', 'dimanjain', 'ngelawan', 'air', 'susu', 'dibalas', 'dengan', 'terjun', 'ini', 'namanya', 'semoga', 'ada', 'tindakan', 'tegas', 'keras', 'dan', 'terukur', 'bukan', 'yg', 'nanggung', 'hanya', 'menimbulkan', 'tni', 'polri', 'berguguran']","['diajak', 'dialog', 'ngelunjak', 'dimanjain', 'ngelawan', 'air', 'susu', 'dibalas', 'terjun', 'namanya', 'semoga', 'tindakan', 'keras', 'terukur', 'yg', 'nanggung', 'menimbulkan', 'tni', 'polri', 'berguguran']","['ajak', 'dialog', 'ngelunjak', 'dimanjain', 'ngelawan', 'air', 'susu', 'balas', 'terjun', 'nama', 'moga', 'tindak', 'keras', 'ukur', 'yg', 'nanggung', 'timbul', 'tni', 'polri', 'gugur']"
45,"Hati2 di cari densus 88 kesemua yang terlibat sampai yang diluar negeri, mulai panik tuh 
joss TNI POLRI ","hati2 di cari densus 88 kesemua yang terlibat sampai yang diluar negeri, mulai panik tuh 
joss tni polri ","hati di cari densus  kesemua yang terlibat sampai yang diluar negeri mulai panik tuh 
joss tni polri ",hati di cari densus kesemua yang terlibat sampai diluar negeri mulai panik tuh joss tni polri,"['hati', 'di', 'cari', 'densus', 'kesemua', 'yang', 'terlibat', 'sampai', 'diluar', 'negeri', 'mulai', 'panik', 'tuh', 'joss', 'tni', 'polri']","['hati', 'cari', 'densus', 'kesemua', 'terlibat', 'diluar', 'negeri', 'panik', 'tuh', 'joss', 'tni', 'polri']","['hati', 'cari', 'densus', 'semua', 'libat', 'luar', 'negeri', 'panik', 'tuh', 'joss', 'tni', 'polri']"
46,"Sedih nya pemerintah indonesia, kkb mempertahankan keasrian tanah mereka dan pemerintah sekuat tenaga untuk memajukan bisnis dengan asing tanpa melihat masyarakat nya senditi","sedih nya pemerintah indonesia, kkb mempertahankan keasrian tanah mereka dan pemerintah sekuat tenaga untuk memajukan bisnis dengan asing tanpa melihat masyarakat nya senditi",sedih nya pemerintah indonesia kkb mempertahankan keasrian tanah mereka dan pemerintah sekuat tenaga untuk memajukan bisnis dengan asing tanpa melihat masyarakat nya senditi,sedih nya pemerintah indonesia kkb mempertahankan keasrian tanah mereka dan sekuat tenaga untuk memajukan bisnis dengan asing tanpa melihat masyarakat senditi,"['sedih', 'nya', 'pemerintah', 'indonesia', 'kkb', 'mempertahankan', 'keasrian', 'tanah', 'mereka', 'dan', 'sekuat', 'tenaga', 'untuk', 'memajukan', 'bisnis', 'dengan', 'asing', 'tanpa', 'melihat', 'masyarakat', 'senditi']","['sedih', 'nya', 'pemerintah', 'indonesia', 'kkb', 'mempertahankan', 'keasrian', 'tanah', 'sekuat', 'tenaga', 'memajukan', 'bisnis', 'asing', 'masyarakat', 'senditi']","['sedih', 'nya', 'perintah', 'indonesia', 'kkb', 'tahan', 'asri', 'tanah', 'kuat', 'tenaga', 'maju', 'bisnis', 'asing', 'masyarakat', 'senditi']"
47,SEMANGAT BARET MERAH!!! KOMANDO!!!,semangat baret merah!!! komando!!!,semangat baret merah komando,semangat baret merah komando,"['semangat', 'baret', 'merah', 'komando']","['semangat', 'baret', 'merah', 'komando']","['semangat', 'baret', 'merah', 'komando']"
48,"MAJU TERUS TNI POLRI DAN SEMUA JAJARAN PENGAMAN KEDAULATAN NKRI !!!
Kami rakyat Indonesia mendukungmu ","maju terus tni polri dan semua jajaran pengaman kedaulatan nkri !!!
kami rakyat indonesia mendukungmu ","maju terus tni polri dan semua jajaran pengaman kedaulatan nkri 
kami rakyat indonesia mendukungmu ",maju terus tni polri dan semua jajaran pengaman kedaulatan nkri kami rakyat indonesia mendukungmu,"['maju', 'terus', 'tni', 'polri', 'dan', 'semua', 'jajaran', 'pengaman', 'kedaulatan', 'nkri', 'kami', 'rakyat', 'indonesia', 'mendukungmu']","['maju', 'tni', 'polri', 'jajaran', 'pengaman', 'kedaulatan', 'nkri', 'rakyat', 'indonesia', 'mendukungmu']","['maju', 'tni', 'polri', 'jajar', 'kam', 'daulat', 'nkri', 'rakyat', 'indonesia', 'dukung']"
49,"Orang Papua benci kita, kita yang salah bertindak. ","orang papua benci kita, kita yang salah bertindak. ",orang papua benci kita kita yang salah bertindak ,orang papua benci kita yang salah bertindak,"['orang', 'papua', 'benci', 'kita', 'yang', 'salah', 'bertindak']","['orang', 'papua', 'benci', 'salah', 'bertindak']","['orang', 'papua', 'benci', 'salah', 'tindak']"
50,Baguslah mereka(KKB) berteriak  jadi mudah untuk menumpasnya ï¸agar warga lekas aman dan nyaman hidup di NKRI ï¸ï¸,baguslah mereka(kkb) berteriak  jadi mudah untuk menumpasnya ï¸agar warga lekas aman dan nyaman hidup di nkri ï¸ï¸,baguslah merekakkb berteriak  jadi mudah untuk menumpasnya agar warga lekas aman dan nyaman hidup di nkri ,baguslah merekakkb berteriak jadi mudah untuk menumpasnya agar warga lekas aman dan nyaman hidup di nkri,"['baguslah', 'merekakkb', 'berteriak', 'jadi', 'mudah', 'untuk', 'menumpasnya', 'agar', 'warga', 'lekas', 'aman', 'dan', 'nyaman', 'hidup', 'di', 'nkri']","['baguslah', 'merekakkb', 'berteriak', 'mudah', 'menumpasnya', 'warga', 'lekas', 'aman', 'nyaman', 'hidup', 'nkri']","['bagus', 'merekakkb', 'teriak', 'mudah', 'tumpas', 'warga', 'lekas', 'aman', 'nyaman', 'hidup', 'nkri']"
51,Kedaulatan NKRI harga mati,kedaulatan nkri harga mati,kedaulatan nkri harga mati,kedaulatan nkri harga mati,"['kedaulatan', 'nkri', 'harga', 'mati']","['kedaulatan', 'nkri', 'harga', 'mati']","['daulat', 'nkri', 'harga', 'mati']"
52,mantappppp,mantappppp,mantappppp,mantappppp,['mantappppp'],['mantappppp'],['mantappppp']
53,ga perlu pake negosiasi kompromi sama kkb.. sikat habis !!! bantai!!,ga perlu pake negosiasi kompromi sama kkb.. sikat habis !!! bantai!!,ga perlu pake negosiasi kompromi sama kkb sikat habis  bantai,ga perlu pake negosiasi kompromi sama kkb sikat habis bantai,"['ga', 'perlu', 'pake', 'negosiasi', 'kompromi', 'sama', 'kkb', 'sikat', 'habis', 'bantai']","['ga', 'pake', 'negosiasi', 'kompromi', 'kkb', 'sikat', 'habis', 'bantai']","['ga', 'pake', 'negosiasi', 'kompromi', 'kkb', 'sikat', 'habis', 'bantai']"
54,Mereka bawa ke pengadilan internasional = Menyerahkan diri wkwk,mereka bawa ke pengadilan internasional = menyerahkan diri wkwk,mereka bawa ke pengadilan internasional  menyerahkan diri wkwk,mereka bawa ke pengadilan internasional menyerahkan diri wkwk,"['mereka', 'bawa', 'ke', 'pengadilan', 'internasional', 'menyerahkan', 'diri', 'wkwk']","['bawa', 'pengadilan', 'internasional', 'menyerahkan', 'wkwk']","['bawa', 'adil', 'internasional', 'serah', 'wkwk']"
55,Entahlah ... saya yakin Indonesia sedang tidak baik-baik saja...,entahlah ... saya yakin indonesia sedang tidak baik-baik saja...,entahlah  saya yakin indonesia sedang tidak baikbaik saja,entahlah saya yakin indonesia sedang tidak baikbaik saja,"['entahlah', 'saya', 'yakin', 'indonesia', 'sedang', 'tidak', 'baikbaik', 'saja']","['indonesia', 'baikbaik']","['indonesia', 'baikbaik']"
56,"Seep, klo dibiarin makin tengil.
Smoga Allah melindungi para prajurit yg ingin memberangus para teroris perusak kedamaian dibumi pertiwi. Amien~
Biarkan KKB atau kutu busuk lainnya merasakan pedihnya diburu para prajurit terlatih.","seep, klo dibiarin makin tengil.
smoga allah melindungi para prajurit yg ingin memberangus para teroris perusak kedamaian dibumi pertiwi. amien~
biarkan kkb atau kutu busuk lainnya merasakan pedihnya diburu para prajurit terlatih.","seep klo dibiarin makin tengil
smoga allah melindungi para prajurit yg ingin memberangus para teroris perusak kedamaian dibumi pertiwi amien
biarkan kkb atau kutu busuk lainnya merasakan pedihnya diburu para prajurit terlatih",seep klo dibiarin makin tengil smoga allah melindungi para prajurit yg ingin memberangus teroris perusak kedamaian dibumi pertiwi amien biarkan kkb atau kutu busuk lainnya merasakan pedihnya diburu terlatih,"['seep', 'klo', 'dibiarin', 'makin', 'tengil', 'smoga', 'allah', 'melindungi', 'para', 'prajurit', 'yg', 'ingin', 'memberangus', 'teroris', 'perusak', 'kedamaian', 'dibumi', 'pertiwi', 'amien', 'biarkan', 'kkb', 'atau', 'kutu', 'busuk', 'lainnya', 'merasakan', 'pedihnya', 'diburu', 'terlatih']","['seep', 'klo', 'dibiarin', 'tengil', 'smoga', 'allah', 'melindungi', 'prajurit', 'yg', 'memberangus', 'teroris', 'perusak', 'kedamaian', 'dibumi', 'pertiwi', 'amien', 'biarkan', 'kkb', 'kutu', 'busuk', 'merasakan', 'pedihnya', 'diburu', 'terlatih']","['seep', 'klo', 'dibiarin', 'tengil', 'smoga', 'allah', 'lindung', 'prajurit', 'yg', 'berangus', 'teroris', 'usak', 'damai', 'bumi', 'pertiwi', 'amien', 'biar', 'kkb', 'kutu', 'busuk', 'rasa', 'pedih', 'buru', 'latih']"
57,HIDUP NKRI ï¸,hidup nkri ï¸,hidup nkri ,hidup nkri,"['hidup', 'nkri']","['hidup', 'nkri']","['hidup', 'nkri']"
58,"penjahat tak mau dibilang jahat.
ohh indahnya negeri dongeng","penjahat tak mau dibilang jahat.
ohh indahnya negeri dongeng","penjahat tak mau dibilang jahat
ohh indahnya negeri dongeng",penjahat tak mau dibilang jahat ohh indahnya negeri dongeng,"['penjahat', 'tak', 'mau', 'dibilang', 'jahat', 'ohh', 'indahnya', 'negeri', 'dongeng']","['penjahat', 'dibilang', 'jahat', 'ohh', 'indahnya', 'negeri', 'dongeng']","['jahat', 'bilang', 'jahat', 'ohh', 'indah', 'negeri', 'dongeng']"
59,Mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap']
60,"Sudah declared, bukan lagi kelompok kriminal. Selamat berburu deh buat TNI. Hoist the flag upwards ð®ð©","sudah declared, bukan lagi kelompok kriminal. selamat berburu deh buat tni. hoist the flag upwards ð®ð©",sudah declared bukan lagi kelompok kriminal selamat berburu deh buat tni hoist the flag upwards ,sudah declared bukan lagi kelompok kriminal selamat berburu deh buat tni hoist the flag upwards,"['sudah', 'declared', 'bukan', 'lagi', 'kelompok', 'kriminal', 'selamat', 'berburu', 'deh', 'buat', 'tni', 'hoist', 'the', 'flag', 'upwards']","['declared', 'kelompok', 'kriminal', 'selamat', 'berburu', 'deh', 'tni', 'hoist', 'the', 'flag', 'upwards']","['declared', 'kelompok', 'kriminal', 'selamat', 'buru', 'deh', 'tni', 'hoist', 'the', 'flag', 'upwards']"
61,Semoga ada kebaikan  Indonesia jgn terpecah belah.,semoga ada kebaikan  indonesia jgn terpecah belah.,semoga ada kebaikan  indonesia jgn terpecah belah,semoga ada kebaikan indonesia jgn terpecah belah,"['semoga', 'ada', 'kebaikan', 'indonesia', 'jgn', 'terpecah', 'belah']","['semoga', 'kebaikan', 'indonesia', 'jgn', 'terpecah', 'belah']","['moga', 'baik', 'indonesia', 'jgn', 'pecah', 'belah']"
62,Bukan tidak mungkin suatu saat KKB akan menyerang Jakarta ,bukan tidak mungkin suatu saat kkb akan menyerang jakarta ,bukan tidak mungkin suatu saat kkb akan menyerang jakarta ,bukan tidak mungkin suatu saat kkb akan menyerang jakarta,"['bukan', 'tidak', 'mungkin', 'suatu', 'saat', 'kkb', 'akan', 'menyerang', 'jakarta']","['kkb', 'menyerang', 'jakarta']","['kkb', 'serang', 'jakarta']"
63,Teroris minta ke pengadilan Internasional kurang akal kali yak?,teroris minta ke pengadilan internasional kurang akal kali yak?,teroris minta ke pengadilan internasional kurang akal kali yak,teroris minta ke pengadilan internasional kurang akal kali yak,"['teroris', 'minta', 'ke', 'pengadilan', 'internasional', 'kurang', 'akal', 'kali', 'yak']","['teroris', 'pengadilan', 'internasional', 'akal', 'kali', 'yak']","['teroris', 'adil', 'internasional', 'akal', 'kali', 'yak']"
64,"Hati2 dlm mengambil langkah dan keputusan, jangan sampai ada  pelanggaran HAM sehingga  nantinya di pengadilan internasional Papua bisa lepas dari Indonesia karena adanya pelanggaran HAM oleh pihak TNI polri, dan asing Aseng leluasa mengeruk SDA Papua sampai habis.","hati2 dlm mengambil langkah dan keputusan, jangan sampai ada  pelanggaran ham sehingga  nantinya di pengadilan internasional papua bisa lepas dari indonesia karena adanya pelanggaran ham oleh pihak tni polri, dan asing aseng leluasa mengeruk sda papua sampai habis.",hati dlm mengambil langkah dan keputusan jangan sampai ada  pelanggaran ham sehingga  nantinya di pengadilan internasional papua bisa lepas dari indonesia karena adanya pelanggaran ham oleh pihak tni polri dan asing aseng leluasa mengeruk sda papua sampai habis,hati dlm mengambil langkah dan keputusan jangan sampai ada pelanggaran ham sehingga nantinya di pengadilan internasional papua bisa lepas dari indonesia karena adanya oleh pihak tni polri asing aseng leluasa mengeruk sda habis,"['hati', 'dlm', 'mengambil', 'langkah', 'dan', 'keputusan', 'jangan', 'sampai', 'ada', 'pelanggaran', 'ham', 'sehingga', 'nantinya', 'di', 'pengadilan', 'internasional', 'papua', 'bisa', 'lepas', 'dari', 'indonesia', 'karena', 'adanya', 'oleh', 'pihak', 'tni', 'polri', 'asing', 'aseng', 'leluasa', 'mengeruk', 'sda', 'habis']","['hati', 'dlm', 'mengambil', 'langkah', 'keputusan', 'pelanggaran', 'ham', 'pengadilan', 'internasional', 'papua', 'lepas', 'indonesia', 'tni', 'polri', 'asing', 'aseng', 'leluasa', 'mengeruk', 'sda', 'habis']","['hati', 'dlm', 'ambil', 'langkah', 'putus', 'langgar', 'ham', 'adil', 'internasional', 'papua', 'lepas', 'indonesia', 'tni', 'polri', 'asing', 'aseng', 'leluasa', 'keruk', 'sda', 'habis']"
65,Doakan Keselamatan bagi TNI dan Polri yang sedang Berjihad membela Negara dan melindungi rakyat.,doakan keselamatan bagi tni dan polri yang sedang berjihad membela negara dan melindungi rakyat.,doakan keselamatan bagi tni dan polri yang sedang berjihad membela negara dan melindungi rakyat,doakan keselamatan bagi tni dan polri yang sedang berjihad membela negara melindungi rakyat,"['doakan', 'keselamatan', 'bagi', 'tni', 'dan', 'polri', 'yang', 'sedang', 'berjihad', 'membela', 'negara', 'melindungi', 'rakyat']","['doakan', 'keselamatan', 'tni', 'polri', 'berjihad', 'membela', 'negara', 'melindungi', 'rakyat']","['doa', 'selamat', 'tni', 'polri', 'jihad', 'bela', 'negara', 'lindung', 'rakyat']"
66,"Bakar sekolah,membunuh warga sipil. Gamau dianggap teroris?gajelas bat dah. Binasakan pimpinannya opm supaya gaada yang menggerakan","bakar sekolah,membunuh warga sipil. gamau dianggap teroris?gajelas bat dah. binasakan pimpinannya opm supaya gaada yang menggerakan",bakar sekolahmembunuh warga sipil gamau dianggap terorisgajelas bat dah binasakan pimpinannya opm supaya gaada yang menggerakan,bakar sekolahmembunuh warga sipil gamau dianggap terorisgajelas bat dah binasakan pimpinannya opm supaya gaada yang menggerakan,"['bakar', 'sekolahmembunuh', 'warga', 'sipil', 'gamau', 'dianggap', 'terorisgajelas', 'bat', 'dah', 'binasakan', 'pimpinannya', 'opm', 'supaya', 'gaada', 'yang', 'menggerakan']","['bakar', 'sekolahmembunuh', 'warga', 'sipil', 'gamau', 'dianggap', 'terorisgajelas', 'bat', 'dah', 'binasakan', 'pimpinannya', 'opm', 'gaada', 'menggerakan']","['bakar', 'sekolahmembunuh', 'warga', 'sipil', 'gamau', 'anggap', 'terorisgajelas', 'bat', 'dah', 'binasa', 'pimpin', 'opm', 'gaada', 'gera']"
67,"KKB mah pionnya aja, yang ngajak main sampe pengadilan internasional biasanya intelektual yang main dibelakang layar","kkb mah pionnya aja, yang ngajak main sampe pengadilan internasional biasanya intelektual yang main dibelakang layar",kkb mah pionnya aja yang ngajak main sampe pengadilan internasional biasanya intelektual yang main dibelakang layar,kkb mah pionnya aja yang ngajak main sampe pengadilan internasional biasanya intelektual dibelakang layar,"['kkb', 'mah', 'pionnya', 'aja', 'yang', 'ngajak', 'main', 'sampe', 'pengadilan', 'internasional', 'biasanya', 'intelektual', 'dibelakang', 'layar']","['kkb', 'mah', 'pionnya', 'aja', 'ngajak', 'main', 'sampe', 'pengadilan', 'internasional', 'intelektual', 'dibelakang', 'layar']","['kkb', 'mah', 'pion', 'aja', 'ngajak', 'main', 'sampe', 'adil', 'internasional', 'intelektual', 'belakang', 'layar']"
